mes_ref,ano,mes,total_nascimentos,total_prematuros,indice_prematuridade_pct
2013-01-01,2013,1,245038,32266,13.1678
2013-02-01,2013,2,229857,30519,13.2774
2013-03-01,2013,3,255273,30324,11.879
2013-04-01,2013,4,256677,30735,11.9742
2013-05-01,2013,5,262954,29686,11.2894
2013-06-01,2013,6,242410,28667,11.8258
2013-07-01,2013,7,246175,27762,11.2773
2013-08-01,2013,8,238436,27644,11.5939
2013-09-01,2013,9,236846,23432,9.8933
2013-10-01,2013,10,236042,23954,10.1482
2013-11-01,2013,11,222491,22804,10.2494
2013-12-01,2013,12,231828,24325,10.4927
2014-01-01,2014,1,247111,32289,13.0666
2014-02-01,2014,2,237191,31223,13.1637
2014-03-01,2014,3,259821,30226,11.6334
2014-04-01,2014,4,259256,30586,11.7976
2014-05-01,2014,5,265272,29391,11.0796
2014-06-01,2014,6,247922,28519,11.5032
2014-07-01,2014,7,255904,28175,11.01
2014-08-01,2014,8,244716,26925,11.0025
2014-09-01,2014,9,247983,23579,9.5083
2014-10-01,2014,10,238208,23773,9.9799
2014-11-01,2014,11,230385,22847,9.9169
2014-12-01,2014,12,245490,25197,10.264
2015-01-01,2015,1,253833,31645,12.4669
2015-02-01,2015,2,239707,29981,12.5074
2015-03-01,2015,3,277540,30549,11.0071
2015-04-01,2015,4,263592,29619,11.2367
2015-05-01,2015,5,269032,28795,10.7032
2015-06-01,2015,6,252239,27797,11.0201
2015-07-01,2015,7,252396,27099,10.7367
2015-08-01,2015,8,244966,26684,10.8929
2015-09-01,2015,9,250849,23301,9.2889
2015-10-01,2015,10,239945,23462,9.7781
2015-11-01,2015,11,230672,22611,9.8022
2015-12-01,2015,12,242897,24996,10.2908
2016-01-01,2016,1,246388,30771,12.4888
2016-02-01,2016,2,241133,30284,12.559
2016-03-01,2016,3,267249,30993,11.597
2016-04-01,2016,4,256752,30011,11.6887
2016-05-01,2016,5,262413,29058,11.0734
2016-06-01,2016,6,246322,28027,11.3782
2016-07-01,2016,7,241194,26380,10.9373
2016-08-01,2016,8,232083,25276,10.8909
2016-09-01,2016,9,226505,21885,9.662
2016-10-01,2016,10,217018,21646,9.9743
2016-11-01,2016,11,204074,20691,10.139
2016-12-01,2016,12,216669,22587,10.4247
2017-01-01,2017,1,226414,29184,12.8897
2017-02-01,2017,2,223515,28711,12.8452
2017-03-01,2017,3,266965,29483,11.0438
2017-04-01,2017,4,252941,28557,11.29
2017-05-01,2017,5,269777,28827,10.6855
2017-06-01,2017,6,254808,27858,10.9329
2017-07-01,2017,7,249008,26371,10.5904
2017-08-01,2017,8,244608,26605,10.8766
2017-09-01,2017,9,237644,22993,9.6754
2017-10-01,2017,10,233926,23538,10.0622
2017-11-01,2017,11,229578,22714,9.8938
2017-12-01,2017,12,234351,24409,10.4156
2018-01-01,2018,1,248735,31241,12.56
2018-02-01,2018,2,230349,29224,12.6868
2018-03-01,2018,3,264342,30667,11.6013
2018-04-01,2018,4,262426,29355,11.186
2018-05-01,2018,5,268724,28308,10.5342
2018-06-01,2018,6,245608,27204,11.0762
2018-07-01,2018,7,246705,26392,10.6978
2018-08-01,2018,8,243961,27055,11.0899
2018-09-01,2018,9,237043,23396,9.8699
2018-10-01,2018,10,237490,23436,9.8682
2018-11-01,2018,11,228568,22906,10.0215
2018-12-01,2018,12,230981,24446,10.5836
2019-01-01,2019,1,246048,31171,12.6687
2019-02-01,2019,2,232779,29680,12.7503
2019-03-01,2019,3,257871,28859,11.1913
2019-04-01,2019,4,250164,28786,11.5069
2019-05-01,2019,5,257068,27593,10.7337
2019-06-01,2019,6,236360,25861,10.9414
2019-07-01,2019,7,240490,26587,11.0553
2019-08-01,2019,8,233817,25929,11.0894
2019-09-01,2019,9,233289,22799,9.7729
2019-10-01,2019,10,225172,22888,10.1647
2019-11-01,2019,11,214454,21930,10.226
2019-12-01,2019,12,221634,23668,10.6789
2020-01-01,2020,1,230864,28927,12.5299
2020-02-01,2020,2,220071,28825,13.098
2020-03-01,2020,3,247191,29338,11.8686
2020-04-01,2020,4,242088,27718,11.4496
2020-05-01,2020,5,245069,27250,11.1193
2020-06-01,2020,6,228270,26249,11.4991
2020-07-01,2020,7,230902,25734,11.145
2020-08-01,2020,8,220938,25644,11.6069
2020-09-01,2020,9,225386,22597,10.0259
2020-10-01,2020,10,215495,22908,10.6304
2020-11-01,2020,11,207497,21038,10.1389
2020-12-01,2020,12,216374,22474,10.3866
2021-01-01,2021,1,222011,27954,12.5913
2021-02-01,2021,2,211814,26977,12.7362
2021-03-01,2021,3,241026,28410,11.7871
2021-04-01,2021,4,233129,27486,11.79
2021-05-01,2021,5,239942,26760,11.1527
2021-06-01,2021,6,222239,25573,11.507
2021-07-01,2021,7,222752,25088,11.2627
2021-08-01,2021,8,219603,24858,11.3195
2021-09-01,2021,9,220926,22562,10.2125
2021-10-01,2021,10,215246,22617,10.5075
2021-11-01,2021,11,211153,21776,10.3129
2021-12-01,2021,12,217260,23873,10.9882
2022-01-01,2022,1,219825,29482,13.4116
2022-02-01,2022,2,207317,27985,13.4987
2022-03-01,2022,3,234109,28299,12.088
2022-04-01,2022,4,225578,27494,12.1882
2022-05-01,2022,5,231719,26194,11.3042
2022-06-01,2022,6,213192,25409,11.9184
2022-07-01,2022,7,212832,24902,11.7003
2022-08-01,2022,8,209771,24050,11.4649
2022-09-01,2022,9,193997,20858,10.7517
2022-10-01,2022,10,191061,22200,11.6193
2022-11-01,2022,11,204592,22592,11.0425
2022-12-01,2022,12,217929,24012,11.0183
2023-01-01,2023,1,222608,29569,13.283
2023-02-01,2023,2,204105,27609,13.5269
2023-03-01,2023,3,234147,28756,12.2812
2023-04-01,2023,4,218654,26837,12.2737
2023-05-01,2023,5,231023,27197,11.7724
2023-06-01,2023,6,217299,26123,12.0217
2023-07-01,2023,7,211095,25177,11.9269
2023-08-01,2023,8,209301,24983,11.9364
2023-09-01,2023,9,203776,22200,10.8943
2023-10-01,2023,10,200729,21658,10.7897
2023-11-01,2023,11,190836,21087,11.0498
2023-12-01,2023,12,194003,22254,11.471
